Course Name,Folder on Disk,Course URL,Field ,Name of the University/Institute,Introduction
Global Trends for Business and Society,wharton-global-trends-business,https://coursera.org/learn/wharton-global-trends-business,Social Sciences,University of Pennsylvania,"In this course, you’ll learn to analyze rapidly changing global trends, their effects on consumer and labor markets, financial systems, and geopolitical relationships among countries all over the world. Professor Mauro Guillen of the Wharton School has designed this course to help you understand the magnitude of influence these trends have on the business world and society. Through real-world case studies, both historical and contemporary, you’ll examine how changes within one society affect others. By the end of this course, you’ll have gained the tools to be able to identify, analyze, and adapt to global changes as they affect your business and society."
Introduction to Psychology as a Science 1 – Methodological and Biological Foundations ,methodological-biological-foundations,https://coursera.org/learn/methodological-biological-foundations,Social Sciences,Georgia Institute of Technology,"This course deals with an Introduction to Psychology as a Science. Psychology is the study of behavior and the mind.  But all of us have tried to understand and predict behavior throughout our lives, first with our parents, then with our peers and teachers, and finally with our friends and co-workers.  The difference is that psychological scientists conduct research that discovers the facts about behavior and our minds, so its principles are based on science and not just on intuition and experience.  The course covers all areas of Psychology, discussing scientific findings relevant to each area.  The content of the course has received approval from &#34;Quality Matters&#34;, an organization that evaluates on-line courses.  The learning outcomes are:  (1) Students will be able to recognize and describe major psychological principles, theories and perspectives;  (2) Students will be able to distinguish between different methods used by psychological scientists to study the different areas of psychology;  (3) Students will be able to describe the &#34;nature-nurture&#34; controversy across different areas of psychology;  (4) Students will know that the basic principles of psychology are based on sound research; and (5) Students will know how the nervous system and other biological systems are involved in understanding behavior and the mind."
Introduction to Psychology as a Science 2 – Fundamentals of the Mind and Behavior ,mind-behavior-fundamentals,https://coursera.org/learn/mind-behavior-fundamentals,Social Sciences,Georgia Institute of Technology,"This course deals with the fundamentals important in Psychology as a science. Psychology is the study of behavior and the mind.  But all of us have tried to understand and predict behavior throughout our lives, first with our parents, then with our peers and teachers, and finally with our friends and co-workers.  The difference is that psychological scientists conduct research that discovers the facts about behavior and our minds, so its principles are based on science and not just on intuition and experience.  The course covers the fundamentals of learning, memory, motivation, emotion, and how behavior changes as we age.  The content of the course has received approval from &#34;Quality Matters&#34;, an organization that evaluates on-line courses.  The learning outcomes are:  (1) Students will be able to recognize and describe major psychological principles of learning;  (2) Students will be able to distinguish between different types of memory;  (3) Students will be able to describe how motivation and emotion can affect how we behave; and (4) Students will know how cognitive behavior and social behavior develops as we age."
Introduction to Psychology as a Science 3 – Normal and Abnormal Behavior,normal-abnormal-behavior,https://coursera.org/learn/normal-abnormal-behavior,Social Sciences,Georgia Institute of Technology,"This course deals with complex normal and abnormal behavior patterns ad determined by Psychology as a Science. Psychology is the study of behavior and the mind.  But all of us have tried to understand and predict behavior throughout our lives, first with our parents, then with our peers and teachers, and finally with our friends and co-workers.  The difference is that psychological scientists conduct research that discovers the facts about behavior and our minds, so its principles are based on science and not just on intuition and experience.  The course covers personality psychology, social psychology, and abnormal psychology.  The content of the course has received approval from &#34;Quality Matters&#34;, an organization that evaluates on-line courses.  The learning outcomes are:  (1) Students will be able to recognize and describe major psychological theories of personality and how personality is measured;  (2) Students will understand how behavior and our cognition is shaped by being with other people; and, (4) Students will be able to distinguish between different psychological disorders and be able to describe how they are both diagnosed and treated."
Media ethics & governance,media-ethics-governance,https://coursera.org/learn/media-ethics-governance,Social Sciences,University of Amsterdam,"Media Ethics and Governance 
About this course: This course explores some of the basic theories, models and concepts in the field of media ethics. We will introduce influential ethical theories and perspectives, explore changing societal demands and expectations of media creation and media use, and we will elaborate on existing ethical norms for media professionals. After following this course, you will be able to reflect on ethical dilemmas and develop a well-substantiated argumentation for ethical decision making in a variety of media-related contexts.

Upon completion of this course, students should:
•	have knowledge of the history and development of perspectives on media ethics;
•	have knowledge of the dominant theoretical approaches and concepts;
•	be able to use this knowledge to develop a well-substantiated argumentation"
Network Dynamics of Social Behavior,networkdynamics,https://coursera.org/learn/networkdynamics,Social Sciences,University of Pennsylvania,"How do revolutions emerge without anyone expecting them?  How did social norms about same sex marriage change more rapidly than anyone anticipated?  Why do some social innovations take off with relative ease, while others struggle for years without spreading?  More generally, what are the forces that control the process of social evolution –from the fashions that we wear, to our beliefs about religious tolerance, to our ideas about the process of scientific discovery and the best ways to manage complex research organizations? 

The social world is complex and full of surprises. Our experiences and intuitions about the social world as individuals are often quite different from the behaviors that we observe emerging in large societies. Even minor changes to the structure of a social network - changes that are unobservable to individuals within those networks - can lead to radical shifts in the spread of new ideas and behaviors through a population. These “invisible” mathematical properties of social networks have powerful implications for the ways that teams solve problems, the social norms that are likely to emerge, and even the very future of our society.  

This course condenses the last decade of cutting-edge research on these topics into six modules.  Each module provides an in-depth look at a particular research puzzle -with a focus on agent-based models and network theories of social change -and provides an interactive computational model for you try out and to use for making your own explorations!  


Learning objectives - after this course, students will be able to...
- explain how computer models are used to study challenging social problems 
- describe how networks are used to represent the structure of social relationships 
- show how individual actions can lead to unintended collective behaviors
- provide concrete examples of how social networks can influence social change 
- discuss how diffusion processes can explain the growth social movements, changes in cultural norms, and the success of team problem solving"
Political Governance and Public Policy in Russia,political-governance-russia,https://coursera.org/learn/political-governance-russia,Social Sciences,Saint Petersburg State University,"The course is designed to study the features of the political structure of modern Russia. It contains both general information on the institutional, procedural and value components of the political system and public policy in Russia, as well as a description of the problems, contradictions and prospects for the political development of the country. The course contains three main modules: (1) the political system and regime in Russia: state institutions, political parties, civil society; (2) the public policy process in Russia: the mechanisms for elaborating, adopting and implementing policies and decisions; (3) directions and problems of economic and social policy in Russia: development based on stabilization. The course is aimed at those listeners who want to gain systematic knowledge of politics in Russia, as well as those who are focused on studying Russia&#39;s political development in complex and uncertain contexts. Studying the course students can choose the level of the course (general or in-depth), focusing on video material, information, discussions, forums, evaluations and interactive communication with teachers. The advanced level of the course development assumes the active participation of students in discussions, forums and project assignments. The overall mission of the course is to develop students&#39; objective political knowledge about Russia and their ability to make critical scientific analysis and assessment."
Russia and Nuclear Arms Control,russia-and-nuclear-arms-control,https://coursera.org/learn/russia-and-nuclear-arms-control,Social Sciences,Saint Petersburg State University,"As a state with one of the largest arsenals of nuclear weapons Russia is a key participant of nuclear non-proliferation regime and defines nuclear arms control as a priority of its foreign policy. This course will discover the logic and the frames of Russian nuclear arms control policies. You will learn the historical background and the modern context of bilateral US-Russian relations in nuclear arms control and understand how these relations influence the global nuclear non-proliferation regime. You will get the basic tools for analyzing Russian defence and security policy in regards to nuclear non-proliferation and disarmament.

Upon the completion this course the students will…

...be able to 
-	analyze the actions of a state from the point of view of the present treaties on nuclear arms control; 
-	come up with their own opinion on the problem commented by the arms control experts; 
-	make arguments supporting their position in discussions of nuclear arms control.

...get to know 
-	the technical, political and strategic aspects of agreements on nuclear arms control; 
-	the content of arms control treaties in which Russia participates; 
-	the trustworthy informational resources dedicated to the problem of nuclear arms control.

 ...be familiar with
-	the special terminology in the area of arms control;
-	the modern state and the perspectives of international policy regarding nuclear arms control;
-	the basics of Russia’s nuclear arms control policy."
SEL Capstone,sel-capstone,https://coursera.org/learn/sel-capstone,Social Sciences,University of Colorado Boulder,"In this course the instructors (Randy Testa, Ben Kirshner, Emily Price, and Dan Liston) have designed two culminating projects for the Coursera Specialization entitled – “The Teacher and SEL”.  The two options include: “A Teacher Implementation Plan”, and “The Cinema, SEL, and the Classroom”.

This course is a part of the 5-course Specialization “The Teacher and Social Emotional Learning (SEL)”. Interested in earning 3 university credits from the University of Colorado-Boulder for this specialization??  If so check out &#34;How you can earn 3 university credits from  the University of Colorado-Boulder for this specialization&#34; reading in the first module of this course  for additional information.

We want to note that the courses in this Specialization were designed with a three-credit university course load in mind.  As a participant you may notice a bit more reading content and a little less video/lecture content.  Completing and passing the SEL Specialization allows the participant to apply for 3 graduate credits toward teacher re-certification and professional enhancement. We want to ensure the quality and high standards of a University of Colorado learning experience.

Interested in earning 3 graduate credits from the University of Colorado-Boulder for The Teacher and Social Emotional Learning (SEL) Specialization?  Check out &#34;How you can earn 3 university credits from the University of Colorado-Boulder for this specialization&#34; reading in the first week of this course for more information."
SEL for Students: A Path to Social Emotional Well-Being,sel-for-students,https://coursera.org/learn/sel-for-students,Social Sciences,University of Colorado Boulder,"Social and emotional learning, or SEL, programs have flourished in schools during the last decade. In this course the instructor (Emily Price) introduces you to the history and framings of social and emotional learning preK-12 curricula, as well as various elementary, middle, and high school SEL programs and associated research.

This course is a part of the 5-course Specialization “The Teacher and Social Emotional Learning (SEL)”. Interested in earning 3 university credits from the University of Colorado-Boulder for this specialization? If so check out &#34;How you can earn 3 university credits from the University of Colorado-Boulder for this specialization&#34; reading in the first module of this course for additional information.

We want to note that the courses in this Specialization were designed with a three-credit university course load in mind. As a participant you may notice a bit more reading content and a little less video/lecture content. Completing and passing the SEL Specialization allows the participant to apply for 3 graduate credits toward teacher re-certification and professional enhancement. We want to ensure the quality and high standards of a University of Colorado learning experience.

Interested in earning 3 graduate credits from the University of Colorado-Boulder for The Teacher and Social Emotional Learning (SEL) Specialization?  Check out &#34;How you can earn 3 university credits from the University of Colorado-Boulder for this specialization&#34; reading in the first week of this course for more information."
Schizophrenia,schizophrenia,https://coursera.org/learn/schizophrenia,Social Sciences,Wesleyan University,"The main goal of this class are to gain an introductory exposure to the nature of the psychiatric disorder known as schizophrenia as revealed by the scientific method. We will discuss a broad range of findings from the scientific investigation of biological and psychological factors related to schizophrenia and its treatment. More specifically we will learn about: (1)  key symptomatic features through discussion and enactments of interviews with actors portraying many of the cardinal features of the illness, (2) what brain imaging studies (MRI and fMRI) and neurochemistry have taught us about the neuroscience of the disorder, (3) scientific psychological data and theories concerning cognition, emotion and behavior in schizophrenia, and (4) current, evidence-based somatic and psychosocial approaches to treatment. A brief historical overview of the recent emergence of the psychiatric category of schizophrenia will be presented as well."
"Teacher SEL: Programs, Possibilities, and Contexts",teacher-sel-programs,https://coursera.org/learn/teacher-sel-programs,Social Sciences,University of Colorado Boulder,"Social and emotional learning, or SEL, student programs have flourished in schools during the last decade.  Unfortunately inadequate attention has been paid to teachers’ social and emotional learning. 
In this course the instructors (Randy Testa and Dan Liston) introduce and examine distinct and established teacher SEL programs, as well as some alternative possibilities.

This course is a part of the 5-course Specialization “The Teacher and Social Emotional Learning (SEL)”. Interested in earning 3 university credits from the University of Colorado-Boulder for this specialization? If so check out &#34;How you can earn 3 university credits from the University of Colorado-Boulder for this specialization&#34; reading in the first module of this course for additional information.

We want to note that the courses in this Specialization were designed with a three-credit university course load in mind. As a participant you may notice a bit more reading content and a little less video/lecture content. Completing and passing the SEL Specialization allows the participant to apply for 3 graduate credits toward teacher re-certification and professional enhancement. We want to ensure the quality and high standards of a University of Colorado learning experience.

Interested in earning 3 graduate credits from the University of Colorado-Boulder for The Teacher and Social Emotional Learning (SEL) Specialization?  Check out &#34;How you can earn 3 university credits from the University of Colorado-Boulder for this specialization&#34; reading in the first week of this course for more information."
The Internet and You,teach-out-internet-and-you,https://coursera.org/learn/teach-out-internet-and-you,Social Sciences,University of Michigan,"Can the Internet be controlled? Should it be? How does the history of the Internet help predict what we should expect for its future? Is net neutrality a lost cause or something worth fighting for? The Internet continues to surprise us as a force for change and disruption in our daily lives and society at large. While it seems as though these significant disruptions are a recent phenomena, in reality we have seen these profound societal disruptions since the 1990s. In this Teach-Out, participants will learn how the Internet has affected human communication, the sharing and discovery of information, and social interactions. Discussions on current trends and potential ways the Internet will continue to affect society will also be explored, as well as how learners can empower their own productivity and impact in the ever-evolving landscape of the Internet.

A Teach-Out is:

-an event – it takes place over a fixed, short period of time

-an opportunity – it is open for free participation to everyone around the world

-a community – it will be joined by a large number of diverse individuals

-a conversation – an opportunity to give and take ideas and information from people

The University of Michigan Teach-Out Series provides just-in-time community learning events for participants around the world to come together in conversation with the U-M campus community, including faculty experts. The U-M Teach-Out Series is part of our deep commitment to engage the public in exploring and understanding the problems, events, and phenomena most important to society.

Teach-Outs are short learning experiences, each focused on a specific current issue. Attendees will come together over a few days not only to learn about a subject or event but also to gain skills. Teach-Outs are open to the world and are designed to bring together individuals with wide-ranging perspectives in respectful and deep conversation. These events are an opportunity for diverse learners and a multitude of experts to come together to ask questions of one another and explore new solutions to the pressing concerns of our global community. Come, join the conversation!

Find new opportunities at teach-out.org."
The Teacher's Social and Emotional Learning,teachers-social-emotional-learning,https://coursera.org/learn/teachers-social-emotional-learning,Social Sciences,University of Colorado Boulder,"Social and emotional learning, or SEL, programs have flourished in schools during the last decade.  While this growth has been impressive, inadequate attention has been paid to teachers’ social and emotional learning.  In this course Dan Liston and Randy Testa introduce you to various rationales for why teacher SEL is needed as well as examine and reflect on various emotions in teaching and learning.

This course is a part of the 5-course Specialization “The Teacher and Social Emotional Learning (SEL)”. Interested in earning 3 university credits from the University of Colorado-Boulder for this specialization??  If so check out &#34;How you can earn 3 university credits from  the University of Colorado-Boulder for this specialization&#34; reading in the first module of this course  for additional information.

We want to note that the courses in this Specialization were designed with a three-credit university course load in mind. As a participant you may notice a bit more reading content and a little less video/lecture content. Completing and passing the SEL Specialization allows the participant to apply for 3 graduate credits toward teacher re-certification and professional enhancement. We want to ensure the quality and high standards of a University of Colorado learning experience.

Interested in earning 3 graduate credits from the University of Colorado-Boulder for The Teacher and Social Emotional Learning (SEL) Specialization?  Check out &#34;How you can earn 3 university credits from the University of Colorado-Boulder for this specialization&#34; reading in the first week of this course for more information."
"Trade, Immigration and Exchange Rates in a Globalized World",trade-immigration-exchange-rates-globalized-world,https://coursera.org/learn/trade-immigration-exchange-rates-globalized-world,Social Sciences,IE Business School,"This course will focus on facets of globalization that affect a country´s economic perspectives and decisions. Globalization has recently been the predominant subject in many political debates, and this course will go into the determinants of globalization. It will be separated into four modules; the first module will explain exchange rates. It will cover what determines exchange rate and how different exchange rates affect the economy and the reality of currencies. The second module will explore trade, the reality of free trade, and what occurs to a country´s economy with protectionism. The third module will go into the balance of payments, it will help you understand how economic transactions between a country and the rest of the world work. The fourth module will focus on Immigration, which is probably one of the most controversial subjects today. It will explain how migration affects host countries and it will cover current migration trends."
" The Place of Music in 21st Century Education",music-education-21st-century,https://coursera.org/learn/music-education-21st-century,Arts and Humanities,The University of Sydney,"What do children need from education now, and in the future? How is technology best used in teaching and learning? How can innovative approaches to education be reconciled with established, traditional ones? What does student-centred learning really mean? This five module course is not just for classroom or ensemble music educators. It’s suitable for anyone interested in creativity-infused education, in contemporary education issues, and in the integration and use of digital technology."
A Brief History of Human Spaceflight,human-spaceflight,https://coursera.org/learn/human-spaceflight,Arts and Humanities,University of Houston System,"This course provides a view of the history of spaceflight, from early writings telling of human's fascination of space through the early Russian and American space stations. Developed as an interesting and entertaining slice of space history that is accessible to anyone with an interest in human spaceflight"
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,western-christianity-200-1650,https://coursera.org/learn/western-christianity-200-1650,Arts and Humanities,Yale University,"This course follows the extraordinary development of Western Christianity from its early persecution under the Roman Empire in the third century to its global expansion with the Jesuits of the early modern world. We explore the dynamic and diverse character of a religion with an enormous cast characters. We will meet men and women who tell stories of faith as well as of violence, suppression, and division. Along the way, we encounter Perpetua and her martyrdom in Carthage; the struggles of Augustine the bishop in North Africa; the zeal of Celtic monks and missionaries; the viciousness of the Crusades; the visions of Brigit of Sweden; and the fracturing of Christianity by Martin Luther’s protest."
ART of the MOOC: Activism and Social Movements,activism-social-movements,https://coursera.org/learn/activism-social-movements,Arts and Humanities,"Duke University, Creative Time","This course is for activists, artists, and thinkers who wish to better understand and participate in social change. We will focus on the prolific and exciting overlap between socially engaged art and cultural practices generated by recent social movements around the world. Rather than assess the political efficacy of activities like mourning, listening, organizing, dancing, or partying, the lectures examine such cultural activities next to, and within, contemporary art practice."
ART of the MOOC: Arte Público y Pedagogía,arte-publico-pedagogia,https://coursera.org/learn/arte-publico-pedagogia,Arts and Humanities,"Duke University, Creative Time","Los alumnos de este curso aprenderán a hacer sus propias obras de arte social y público si así lo desean, o podrán simplemente estudiar la teoría e historia reciente del medio. Diseñado por el artista y profesor de Duke, Pedro Lasch, e impartido con el director artístico de Creative Time, Nato Thompson, este curso presenta el arte y la cultura pública en sus formas contemporáneas radicalmente re-inventadas. Las conferencias enlazan acontecimientos claves de las últimas décadas en este campo con temas más amplios como la política espacial, estructuras sociales cotidianas y la educación experimental."
ART of the MOOC: Public Art and Pedagogy,moocs,https://coursera.org/learn/moocs,Arts and Humanities,"Duke University, Creative Time","Students of this course may try their hand at their own public art interventions, or simply focus on learning from the theory of public practice and its recent history. Designed by artist and Duke professor, Pedro Lasch, and co-taught by Creative Time artistic director, Nato Thompson, this course presents public culture and art in their radically reinenvented contemporary forms. The lectures link major developments of recent decades to wider topics like spatial politics, everyday social structures, and experimental education. 

Also included are guest presentations from key thinkers and practitioners, like: Tania Bruguera, Claire Doherty, Tom Finkelpearl, Hans Haacke, Shannon Jackson, Suzanne Lacy, Rick Lowe, and many more. As the ‘ART of the MOOC’ title implies, learners and participants are encouraged to treat the MOOC itself as a public art medium. This happens mostly through the course’s practical components, local project productions, global exchanges, and critical feedback.

While no prior art making experience is required, projects also offer challenging options for advanced learners.
"
Age of Jefferson,ageofjefferson,https://coursera.org/learn/ageofjefferson,Arts and Humanities,University of Virginia,"This course provides an overview of Thomas Jefferson's work and perspectives presented by the University of Virginia in partnership with Thomas Jefferson’s Monticello. Together, UVA and Monticello are recognized internationally as a UNESCO World Heritage Site."
America Through Foreign Eyes,america-through-foreign-eyes,https://coursera.org/learn/america-through-foreign-eyes,Arts and Humanities,Rice University,"The United States has always been a source of fascination — both attraction and repulsion — for the people of France, Mexico, China, and African countries such as Nigeria, Ghana, and Sudan. ""America Through Foreign Eyes"" is a rich, interdisciplinary, international course that features Rice University faculty from a variety of disciplines and area studies. Focused on perceptions of America abroad, the course is a cross between World Cultures and American Studies. The course features four modules, each covering the perceptions and interactions of particular regions with America, Americans and Americanization."
"American Education Reform: History, Policy, Practice",edref,https://coursera.org/learn/edref,Arts and Humanities,University of Pennsylvania,"Discover what shapes how we talk about schools today by exploring the history of U.S. education reform. Engage with the main actors, key decisions, and major turning points in this history. See how social forces drive reform. Learn about how the critical tensions embedded in U.S. education policy and practice apply to schools nationally, globally— and where you live."
Ancient Egypt,ancientegypt,https://coursera.org/learn/ancientegypt,Arts and Humanities,University of Pennsylvania,"Colossal pyramids, imposing temples, golden treasures, enigmatic hieroglyphs, powerful pharaohs, strange gods, and mysterious mummies are features of Ancient Egyptian culture that have fascinated people over the millennia. The Bible refers to its gods, rulers, and pyramids. Neighboring cultures in the ancient Near East and Mediterranean wrote about its god-like kings and its seemingly endless supply of gold. The Greeks and Romans describe aspects of Egypt's culture and history."
Ancient Philosophy: Aristotle and His Successors,aristotle,https://coursera.org/learn/aristotle,Arts and Humanities,University of Pennsylvania,"What is philosophy? How does it differ from science, religion, and other modes of human discourse? This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient Greece. We begin with the Presocratic natural philosophers who were active in Ionia in the 6th century BCE and are also credited with being the first scientists. Thales, Anaximander, and Anaximines"
Ancient Philosophy: Plato & His Predecessors,plato,https://coursera.org/learn/plato,Arts and Humanities,University of Pennsylvania,"What is philosophy? How does it differ from science, religion, and other modes of human discourse? This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient Greece. We begin with the Presocratic natural philosophers who were active in Ionia in the 6th century BCE and are also credited with being the first scientists. Thales, Anaximander, and Anaximines made bold proposals about the ultimate constituents of reality, while Heraclitus insisted that there is an underlying order to the changing world. Parmenides of Elea formulated a powerful objection to all these proposals, while later Greek theorists (such as Anaxagoras and the atomist Democritus) attempted to answer that objection."
Arch of Titus: Rome and the Menorah,archoftitus,https://coursera.org/learn/archoftitus,Arts and Humanities,Yeshiva University,"The Arch of Titus: Rome and the Menorah explores one of the most significant Roman monuments to survive from antiquity, from the perspectives of Roman, Jewish and later Christian history and art. The Arch of Titus commemorates the destruction of Jerusalem by the emperor Titus in 70 CE, an event of pivotal importance for the history of the Roman Empire, of Judaism, of Christianity and of modern nationalism."
Art & Activity: Interactive Strategies for Engaging with Art,art-activity,https://coursera.org/learn/art-activity,Arts and Humanities,The Museum of Modern Art,"Art can be a powerful catalyst for building skills and understanding a range of subjects. Intended for primary and secondary teachers of all disciplines, Art & Activity builds upon the inquiry-based approaches of Art and Inquiry: Museum Teaching Strategies for Your Classroom, while delving into activity-based strategies that will make your students empowered participants."
Art & Ideas: Teaching with Themes,ideas,https://coursera.org/learn/ideas,Arts and Humanities,The Museum of Modern Art,"This course is designed to help build critical skills that support theme-based teaching practices and build confidence in incorporating modern and contemporary art into interdisciplinary lesson plans. By addressing themes and questions that arise in relation to modern and contemporary art, the course will help you to think creatively about links to your curriculum and the ways that you can tap into students’ knowledge and life experience."
At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,nigro-levant-west,https://coursera.org/learn/nigro-levant-west,Arts and Humanities,Sapienza University of Rome,"Which are the deepest roots of that mix of cultures that we use to call ‘Mediterranean Civilization’? Which are comminglings and exchanges which produced its most complete fruit, i.e. the city, a place for landscape-modelling communities? And which elements did contribute to build up that baulk of customs, ideas, and innovations which compelled to confrontation and hybridizations different peoples for millennia? What did it made, from pottery to metallurgy, from gastronomy to architecture, from art to religion, of a sea a cradle of civilization? Archaeology may help in disentangling such questions, seeking unexpected answers , by tinkering what ancient Mediterranean peoples left buried in the ground. A privileged point of view of our course is the ancient Phoenician city of Motya, located exactly at the centre of the “sea in the middle”. Throughout the live experience of excavation, with images taken on the field, this course will let you touch the many tesserae of the great mosaic of the Mediterranean Civilization. The field diary of the archaeologist, and the handpick will be the two tools, which will lead us across the sea to discover what such early cities actually were, and how their contribute is still a major part of our shared memory."
Big History: Connecting Knowledge,big-history,https://coursera.org/learn/big-history,Arts and Humanities,Macquarie University,"We currently face unprecedented challenges on a global scale. These problems do not neatly fall into disciplines. They are complicated, complex, and connected. Join us on this epic journey of 13.8 billion years starting at the Big Bang and travelling through time all the way to the future. Discover the connections in our world, the power of collective learning, how our universe and our world has evolved from incredible simplicity to ever-increasing complexity. Experience our modern scientific origin story through Big History and discover the important links between past, current, and future events. You will find two different types of lectures. ‘Zooming In’ lectures from multiple specialists enable you to understand key concepts through the lens of different disciplines, whilst David Christian's ‘Big History Framework’ lectures provide the connective overview for a journey through eight thresholds of Big History."
Camera Control,photocourse2,https://coursera.org/learn/photocourse2,Arts and Humanities,Michigan State University,"Welcome to Course Two of Photography Basics and Beyond: From Smartphone to DSLR! Now that you have a broad understanding of the various types of cameras, the importance of setting up Menus and Functions to gain control in your photography, and the difference between Auto and Program exposure modes, you are ready to move into even greater Camera Control!"
"Cameras, Exposure, and Photography",exposure-photography,https://coursera.org/learn/exposure-photography,Arts and Humanities,Michigan State University,"Welcome to Course One of Photography Basics and Beyond: From Smartphone to DSLR! In these first 4 Modules you will gain the knowledge and the confidence that will help you make good choices as you consider qualities of the camera you own, and the qualities of the other types of digital cameras you might be considering. You will learn about the basic functions that most digital cameras have in common. You will also go beyond the ""technical"" matters and learn about how you can make exciting pictures by emphasizing the aspects of Frame and Vantage Point to interpret old subjects in new ways."
Chinese Culture and Contemporary China ,china-culture-contemporary,https://coursera.org/learn/china-culture-contemporary,Arts and Humanities,Nanjing University,"This course of Chinese Culture and Contemporary China will explore the foundations of Chinese civilization and the dimensions of Chinese culture. It will pay particular attention to the relationship between Chinese culture and the present-day life of the Chinese people and to the different elements of the culture which are under the present social structures, belief systems, literature, arts, customs, etc. The course aims at providing students with a deeper knowledge of Chinese culture, thus enabling them to better understand China. The course will cover the following main areas of topics: (1) the foundations of Chinese civilization: its geography, language, and history; (2) the core concepts in Chinese philosophies and religions: Confucianism, Taoism, and Buddhism; (3), literature and arts, including Chinese calligraphy, painting, Tang poetry, and classical fiction; (4) society and life, including education, the role of women, Chinese food, and traditional holidays; (5) travel and landscapes, including well-known Chinese cities, mountains, ethnic regions and customs; (6) Chinese media, culture and sports, including TV and movies, fashion, Chinese gongfu and taiji."
Classics of Chinese Humanities: Guided Readings,classics-chinese-humanities,https://coursera.org/learn/classics-chinese-humanities,Arts and Humanities,The Chinese University of Hong Kong,"An introductory yet trenchant exploration of select Chinese classic texts that cover the domains of classical literature, history, philosophy, and fine arts."
Conflict Transformation,conflict-transformation,https://coursera.org/learn/conflict-transformation,Arts and Humanities,Emory University,"This course introduces you to the concept of conflict transformation and how it differs from conflict resolution, management, and prevention. We’ll see how conflict offers opportunities for constructive change, and we'll explore different tools and methods for engaging conflict constructively.

Regardless of your familiarity with the topic, you'll get insightful tips, portable handouts, lively demonstrations, and personalized assignments to bridge and enhance your own knowledge and history within the conflict narrative. In any area of your life, you'll benefit from the practical techniques and transferable information offered throughout this five-week journey."
Confronting The Big Questions: Highlights of Modern Astronomy,astronomy,https://coursera.org/learn/astronomy,Arts and Humanities,University of Rochester,An introduction to modern astronomy's most important questions. The four sections of the course are Planets and Life in The Universe; The Life of Stars; Galaxies and Their Environments; The History of The Universe.
Copyright for Multimedia,copyright-for-multimedia,https://coursera.org/learn/copyright-for-multimedia,Arts and Humanities,"Duke University, Emory University, The University of North Carolina at Chapel Hill","Copyright questions about different formats (data, images, music and video) can be especially difficult. Sometimes the law specifically distinguishes between these different formats, and in most cases there are media-specific considerations that impact a copyright analysis. In this course we will look at four different media, paying special attention to the unique issues for each one and the kinds of information that is important when making copyright decisions for each type of material. We will work through fair use issues for each multimedia format, look at format-specific exceptions in the law, and consider unique issues for seeking permission for film, music, images and data."
Creating Synthesizer Sounds for Electronic Music (Project-Centered Course),music-synthesizer,https://coursera.org/learn/music-synthesizer,Arts and Humanities,Berklee,"In this project-centered course*, you will create sounds and use them in your own musical compositions. Whether you're an aspiring producer, composer, or hobbyist, this course will help you gain skills in music production and confidence using software synthesizers. Along with your classmates, you will create a massive database of designed sounds, or patches, to use in your compositions. As part of the course, you will work with a free version of FXpansion Strobe 2."
Creative Writing: The Craft of Character,craft-of-character,https://coursera.org/learn/craft-of-character,Arts and Humanities,Wesleyan University,"At the center of a good story are the characters in it. In this course aspiring writers will discover how to build and bring to life complex, vivid and unforgettable characters. We will study the choices a writer makes to bring all characters to life on the page, and we will perform written exercises in order to develop a variety of writing and pre-writing techniques, in order to create a variety of characters. We will learn how to use our own life experiences, and the people we know (and how not to!)."
Creative Writing: The Craft of Plot,craft-of-plot,https://coursera.org/learn/craft-of-plot,Arts and Humanities,Wesleyan University,"In this course aspiring writers will be introduced to perhaps the most elemental and often the most challenging element of story: plot. We will learn what keeps it moving, how it manipulates our feelings, expectations, and desires. We will examine the choices storytellers make to snag our imaginations, drag them into a fictional world, and keep them there. We will learn how to outline and structure a plot, discuss narrative arc, pacing and reversals and reveal the inevitable surprise: connecting the beginning, middle and end."
Creative Writing: The Craft of Setting and Description,craft-of-setting-and-description,https://coursera.org/learn/craft-of-setting-and-description,Arts and Humanities,Wesleyan University,"In this course aspiring writers will be introduced to the techniques that masters of fiction use to ground a story in a concrete world. From the most realist settings to the most fantastical, writers will learn how to describe the physical world in sharp, sensory detail. We will also learn how to build credibility through research, and to use creative meditation exercises to deepen our own understanding of our story worlds, so that our readers can see all that we imagine."
Creative Writing: The Craft of Style,craft-of-style,https://coursera.org/learn/craft-of-style,Arts and Humanities,Wesleyan University,"Your style is as unique and distinctive as your face, your voice, except that you can choose it, you can can work on it, enhance it. In this course we will introduce aspiring writers to the art of putting pressure on written language. We will study the use of metaphor and imagery, and demonstrate how clarity, grace, and inventiveness in word choice are imperative to a story’s success. Writers will emerge with the revision skills essential to all writers of good stories and good prose."
